"Distancia (kilómetros)","Lisboa (Portugal)
","Madrid (Comunidad de Madrid)
","París
","Londres
","Berlín
","Varsovia
","Praga
","Copenhague
","Estocolmo
","Oslo
","Roma
","Atenas
","Kiev
","Moscú"
"Lisboa (Portugal)
","","503","1455","1587","2313","2760","2245","2480","2991","2740","1863","2852","3354","3908"
"Madrid (Comunidad de Madrid)
","503","","1053","1264","1868","2290","1773","2074","2593","2388","1363","2370","2863","3441"
"París
","1455","1053","","344","877","1367","882","1028","1544","1342","1106","2096","2024","2487"
"Londres
","1587","1264","344","","931","1449","1033","956","1433","1154","1434","2392","2134","2501"
"Berlín
","2313","1868","877","931","","518","280","357","811","839","1184","1804","1206","1610"
"Varsovia
","2760","2290","1367","1449","518","","517","672","810","1063","1317","1599","690","1151"
"Praga
","2245","1773","882","1033","280","517","","635","1053","1117","924","1535","1143","1668"
"Copenhague
","2480","2074","1028","956","357","672","635","","521","482","1534","2138","1329","1561"
"Estocolmo
","2991","2593","1544","1433","811","810","1053","521","","417","1977","2408","1264","1227"
"Oslo
","2740","2388","1342","1154","839","1063","1117","482","417","","2008","2606","1628","1645"
"Roma
","1863","1363","1106","1434","1184","1317","924","1534","1977","2008","","1052","1677","2377"
"Atenas
","2852","2370","2096","2392","1804","1599","1535","2138","2408","2606","1052","","1487","2231"
"Kiev
","3354","2863","2024","2134","1206","690","1143","1329","1264","1628","1677","1487","","756"
"Moscú","3908","3441","2487","2501","1610","1151","1668","1561","1227","1645","2377","2231","756",""
